site_seq,sitecode,site,year,sample_date,sample_id,code,samp_pt_name,lab,lab_id,method,method_name,parameter,concentration,units,lab_qualifier,qualifier,qual_description,rl,mdl,prep_method,dilution_factor,cas_no,conc_ugg,rl_ugg,flag,conc_RL,conc_HALF,conc_ML
76091,CBJWPB,JEWEL ISLAND PUNCHBOWL,2007,2007-10-22,CBJWPB REP 2,CBJWPB_REP_2_2007_2,REP 2,"BROOKS APPLIED LABS - SEATTLE, WA",0806020-42,E1638,EPA: DETERMINATION OF TRACE ELEMENTS IN AMBIENT WATERS BY INDUCTIVELY COUPLED PLASMA-MASS SPECTROMETRY EPA/821/R-96-005 -JANUARY 1996,ARSENIC,11.4709110867179,MG/KG,NA,NA,NA,1.64654226125137,0.603732162458836,NA,1,7440382,11.4709110867179,1.64654226125137,FALSE,11.4709110867179,11.4709110867179,11.4709110867179
76091,CBJWPB,JEWEL ISLAND PUNCHBOWL,2007,2007-10-22,CBJWPB REP 2,CBJWPB_REP_2_2007_2,REP 2,"BROOKS APPLIED LABS - SEATTLE, WA",0806020-42,E1638,EPA: DETERMINATION OF TRACE ELEMENTS IN AMBIENT WATERS BY INDUCTIVELY COUPLED PLASMA-MASS SPECTROMETRY EPA/821/R-96-005 -JANUARY 1996,CADMIUM,1.92096597145993,MG/KG,NA,NA,NA,0.0658616904500549,0.021953896816685,NA,1,7440439,1.92096597145993,0.0658616904500549,FALSE,1.92096597145993,1.92096597145993,1.92096597145993
76091,CBJWPB,JEWEL ISLAND PUNCHBOWL,2007,2007-10-22,CBJWPB REP 2,CBJWPB_REP_2_2007_2,REP 2,"BROOKS APPLIED LABS - SEATTLE, WA",0806020-42,E1638,EPA: DETERMINATION OF TRACE ELEMENTS IN AMBIENT WATERS BY INDUCTIVELY COUPLED PLASMA-MASS SPECTROMETRY EPA/821/R-96-005 -JANUARY 1996,LEAD,0.867178924259056,MG/KG,NA,NA,NA,0.214050493962678,0.0439077936333699,NA,1,7439921,0.867178924259056,0.214050493962678,FALSE,0.867178924259056,0.867178924259056,0.867178924259056
76091,CBJWPB,JEWEL ISLAND PUNCHBOWL,2007,2007-10-22,CBJWPB REP 2,CBJWPB_REP_2_2007_2,REP 2,"BROOKS APPLIED LABS - SEATTLE, WA",0806020-42,E1638,EPA: DETERMINATION OF TRACE ELEMENTS IN AMBIENT WATERS BY INDUCTIVELY COUPLED PLASMA-MASS SPECTROMETRY EPA/821/R-96-005 -JANUARY 1996,SILVER,NA,MG/KG,U,NA,NOT DETECTED ABOVE THE ASSOCIATED QUANTITATION LIMIT,0.537870472008782,0.0548847420417124,NA,1,7440224,NA,0.537870472008782,TRUE,0.537870472008782,0.268935236004391,0.2096659146581234
76091,CBJWPB,JEWEL ISLAND PUNCHBOWL,2007,2007-10-22,CBJWPB REP 3,CBJWPB_REP_3_2007_2,REP 3,"BROOKS APPLIED LABS - SEATTLE, WA",0806020-43,E1638,EPA: DETERMINATION OF TRACE ELEMENTS IN AMBIENT WATERS BY INDUCTIVELY COUPLED PLASMA-MASS SPECTROMETRY EPA/821/R-96-005 -JANUARY 1996,CADMIUM,2.24502487562189,MG/KG,NA,NA,NA,0.068407960199005,0.0248756218905473,NA,1,7440439,2.24502487562189,0.068407960199005,FALSE,2.24502487562189,2.24502487562189,2.24502487562189
76091,CBJWPB,JEWEL ISLAND PUNCHBOWL,2007,2007-10-22,CBJWPB REP 3,CBJWPB_REP_3_2007_2,REP 3,"BROOKS APPLIED LABS - SEATTLE, WA",0806020-43RE5,E1638,EPA: DETERMINATION OF TRACE ELEMENTS IN AMBIENT WATERS BY INDUCTIVELY COUPLED PLASMA-MASS SPECTROMETRY EPA/821/R-96-005 -JANUARY 1996,CHROMIUM,4.78855721393035,MG/KG,NA,NA,NA,1.24378109452736,0.435323383084577,NA,1,7440473,4.78855721393035,1.24378109452736,FALSE,4.78855721393035,4.78855721393035,4.78855721393035
76091,CBJWPB,JEWEL ISLAND PUNCHBOWL,2007,2007-10-22,CBJWPB REP 3,CBJWPB_REP_3_2007_2,REP 3,"BROOKS APPLIED LABS - SEATTLE, WA",0806020-43RE5,E1638,EPA: DETERMINATION OF TRACE ELEMENTS IN AMBIENT WATERS BY INDUCTIVELY COUPLED PLASMA-MASS SPECTROMETRY EPA/821/R-96-005 -JANUARY 1996,NICKEL,1.05721393034826,MG/KG,B,NA,COMPOUND IS FOUND IN THE ASSOCIATED METHOD BLANK (ORGANIC) OR THE REPORTED VALUE WAS LESS THAN THE REPORTING LIMIT BUT GREATER THAN OR EQUAL TO THE IDL. (INORGANIC),1.24378109452736,0.373134328358209,NA,1,7440020,1.05721393034826,1.24378109452736,FALSE,1.05721393034826,1.05721393034826,1.05721393034826
76091,CBJWPB,JEWEL ISLAND PUNCHBOWL,2007,2007-10-22,CBJWPB REP 3,CBJWPB_REP_3_2007_2,REP 3,"BROOKS APPLIED LABS - SEATTLE, WA",0806020-43,E1638,EPA: DETERMINATION OF TRACE ELEMENTS IN AMBIENT WATERS BY INDUCTIVELY COUPLED PLASMA-MASS SPECTROMETRY EPA/821/R-96-005 -JANUARY 1996,LEAD,0.920398009950249,MG/KG,NA,NA,NA,0.236318407960199,0.0497512437810945,NA,1,7439921,0.920398009950249,0.236318407960199,FALSE,0.920398009950249,0.920398009950249,0.920398009950249
76091,CBJWPB,JEWEL ISLAND PUNCHBOWL,2007,2007-10-22,CBJWPB REP 3,CBJWPB_REP_3_2007_2,REP 3,"BROOKS APPLIED LABS - SEATTLE, WA",0806020-43,E1638,EPA: DETERMINATION OF TRACE ELEMENTS IN AMBIENT WATERS BY INDUCTIVELY COUPLED PLASMA-MASS SPECTROMETRY EPA/821/R-96-005 -JANUARY 1996,SILVER,NA,MG/KG,U,NA,NOT DETECTED ABOVE THE ASSOCIATED QUANTITATION LIMIT,0.590796019900498,0.0559701492537314,NA,1,7440224,NA,0.590796019900498,TRUE,0.590796019900498,0.295398009950249,0.22976854182193363
76091,CBJWPB,JEWEL ISLAND PUNCHBOWL,2007,2007-10-22,CBJWPB REP 3,CBJWPB_REP_3_2007_2,REP 3,"BROOKS APPLIED LABS - SEATTLE, WA",0806020-43,E1638,EPA: DETERMINATION OF TRACE ELEMENTS IN AMBIENT WATERS BY INDUCTIVELY COUPLED PLASMA-MASS SPECTROMETRY EPA/821/R-96-005 -JANUARY 1996,ARSENIC,13.4950248756219,MG/KG,NA,NA,NA,1.74129353233831,0.621890547263682,NA,1,7440382,13.4950248756219,1.74129353233831,FALSE,13.4950248756219,13.4950248756219,13.4950248756219
76091,CBJWPB,JEWEL ISLAND PUNCHBOWL,2007,2007-10-22,CBJWPB REP 3,CBJWPB_REP_3_2007_2,REP 3,"BROOKS APPLIED LABS - SEATTLE, WA",0806020-43RE1,E1631,"EPA: MERCURY IN WATER BY OXIDATION, PURGE AND TRAP, AND COLD VAPOR ATOMIC FLUORESCENCE SPECTROMETRY - JANUARY 1996",MERCURY,128.731343283582,UG/KG,NA,NA,NA,19.0298507462687,6.28109452736319,NA,3,7439976,0.128731343283582,0.0190298507462687,FALSE,0.128731343283582,0.128731343283582,0.128731343283582
76091,CBJWPB,JEWEL ISLAND PUNCHBOWL,2007,2007-10-22,CBJWPB REP 3,CBJWPB_REP_3_2007_2,REP 3,"BROOKS APPLIED LABS - SEATTLE, WA",0806020-43RE4,E1638,EPA: DETERMINATION OF TRACE ELEMENTS IN AMBIENT WATERS BY INDUCTIVELY COUPLED PLASMA-MASS SPECTROMETRY EPA/821/R-96-005 -JANUARY 1996,ALUMINUM,38.2462686567164,MG/KG,NA,NA,NA,14.6144278606965,4.85074626865672,NA,1,7429905,38.2462686567164,14.6144278606965,FALSE,38.2462686567164,38.2462686567164,38.2462686567164
76091,CBJWPB,JEWEL ISLAND PUNCHBOWL,2007,2007-10-22,CBJWPB REP 3,CBJWPB_REP_3_2007_2,REP 3,"BROOKS APPLIED LABS - SEATTLE, WA",0806020-43RE4,E1638,EPA: DETERMINATION OF TRACE ELEMENTS IN AMBIENT WATERS BY INDUCTIVELY COUPLED PLASMA-MASS SPECTROMETRY EPA/821/R-96-005 -JANUARY 1996,COPPER,7.64925373134328,MG/KG,NA,NA,NA,0.995024875621891,0.248756218905473,NA,1,7440508,7.64925373134328,0.995024875621891,FALSE,7.64925373134328,7.64925373134328,7.64925373134328
76091,CBJWPB,JEWEL ISLAND PUNCHBOWL,2007,2007-10-22,CBJWPB REP 3,CBJWPB_REP_3_2007_2,REP 3,"BROOKS APPLIED LABS - SEATTLE, WA",0806020-43RE4,E1638,EPA: DETERMINATION OF TRACE ELEMENTS IN AMBIENT WATERS BY INDUCTIVELY COUPLED PLASMA-MASS SPECTROMETRY EPA/821/R-96-005 -JANUARY 1996,IRON,178.482587064677,MG/KG,NA,NA,NA,30.4726368159204,9.32835820895523,NA,1,7439896,178.482587064677,30.4726368159204,FALSE,178.482587064677,178.482587064677,178.482587064677
76091,CBJWPB,JEWEL ISLAND PUNCHBOWL,2007,2007-10-22,CBJWPB REP 3,CBJWPB_REP_3_2007_2,REP 3,"BROOKS APPLIED LABS - SEATTLE, WA",0806020-43RE4,E1638,EPA: DETERMINATION OF TRACE ELEMENTS IN AMBIENT WATERS BY INDUCTIVELY COUPLED PLASMA-MASS SPECTROMETRY EPA/821/R-96-005 -JANUARY 1996,SELENIUM,5.09950248756219,MG/KG,NA,NA,NA,0.808457711442786,0.248756218905473,NA,1,7782492,5.09950248756219,0.808457711442786,FALSE,5.09950248756219,5.09950248756219,5.09950248756219
76091,CBJWPB,JEWEL ISLAND PUNCHBOWL,2007,2007-10-22,CBJWPB REP 3,CBJWPB_REP_3_2007_2,REP 3,"BROOKS APPLIED LABS - SEATTLE, WA",0806020-43RE4,E1638,EPA: DETERMINATION OF TRACE ELEMENTS IN AMBIENT WATERS BY INDUCTIVELY COUPLED PLASMA-MASS SPECTROMETRY EPA/821/R-96-005 -JANUARY 1996,ZINC,102.611940298507,MG/KG,NA,NA,NA,4.85074626865672,1.67910447761194,NA,1,7440666,102.611940298507,4.85074626865672,FALSE,102.611940298507,102.611940298507,102.611940298507
76091,CBJWPB,JEWEL ISLAND PUNCHBOWL,2007,2007-10-22,CBJWPB REP 4,CBJWPB_REP_4_2007_2,REP 4,"BROOKS APPLIED LABS - SEATTLE, WA",0806020-44,E1638,EPA: DETERMINATION OF TRACE ELEMENTS IN AMBIENT WATERS BY INDUCTIVELY COUPLED PLASMA-MASS SPECTROMETRY EPA/821/R-96-005 -JANUARY 1996,ARSENIC,11.5235457063712,MG/KG,NA,NA,NA,1.60664819944598,0.609418282548476,NA,1,7440382,11.5235457063712,1.60664819944598,FALSE,11.5235457063712,11.5235457063712,11.5235457063712
